contig	kmers_bp	total_bp	chrom
I52.000010F	82067	24975404	EH23a.chr7
I52.000018F	52829	13977197	EH23a.chrX
I52.000021F	38388	13059779	EH23a.chr7
I52.000019F	38045	13279151	EH23a.chrX
I52.000057F	18861	4982314	EH23a.chr6
I52.000012F	17706	16969484	EH23a.chr7
I52.000062F	13752	4764707	EH23a.chr4
I52.000087F	11740	2949584	EH23a.chr8
I52.000040F	10213	7194324	EH23a.chr7
I52.000022F	10337	12516510	EH23a.chrX
I52.000009F	10305	25955910	EH23a.chrX
I52.000193F	7075	200067	EH23a.chr2
I52.000196F	6914	202204	EH23a.chr5
I52.000182F	6990	233314	EH23a.chr1
I52.000176F	6591	272978	EH23a.chr4
I52.000048F	8045	5003293	EH23a.chr5
I52.000216F	6055	120907	EH23a.chrX
I52.000078F	7820	3678325	EH23a.chr4
I52.000209F	6207	191702	EH23a.chr8
I52.000201F	5982	180720	EH23a.chr3
I52.000180F	6077	239931	EH23a.chr3
I52.000025F	7797	10051189	EH23a.chrX
I52.000192F	5820	193808	EH23a.chr9
I52.000226F	5528	117315	EH23a.chr7
I52.000197F	5725	180265	EH23a.chr7
I52.000026F	5486	142396	EH23a.chrX
I52.000097F	5196	110403	EH23a.chr1
I52.000043F	5304	156531	EH23a.chr1
I52.000045F	6725	6697905	EH23a.chr4
I52.000189F	4790	184900	EH23a.chr4
I52.000032F	5430	971253	EH23a.chr3
I52.000172F	4686	306951	EH23a.chr6
I52.000028F	5685	4679479	EH23a.chrX
I52.000055F	5701	5294126	EH23a.chr6
I52.000029F	5840	9233340	EH23a.chr3
I52.000002F	4342	218495	EH23a.chr5
I52.000203F	4118	141685	EH23a.chrX
I52.000200F	4067	138560	EH23a.chr3
I52.000011F	4405	444796	EH23a.chr1
I52.000177F	4027	235835	EH23a.chr1
I52.000104F	3936	180062	EH23a.chr6
I52.000088F	4703	2943106	EH23a.chr4
I52.000207F	3729	157985	EH23a.chr8
I52.000212F	3621	119860	EH23a.chr1
I52.000015F	5139	16169146	EH23a.chr4
I52.000031F	4919	8893957	EH23a.chr3
I52.000027F	4905	10046682	EH23a.chr6
I52.000151F	4024	589192	EH23a.chr4
I52.000137F	4130	856643	EH23a.chr6
I52.000234F	3389	97875	EH23a.chr8
I52.000085F	4369	3144098	EH23a.chr6
I52.000108F	4179	2082818	EH23a.chr6
I52.000138F	3883	812559	EH23a.chr4
I52.000091F	4135	2873616	EH23a.chr4
I52.000148F	3691	638555	EH23a.chr2
I52.000096F	4008	2749942	EH23a.chr1
I52.000215F	3124	145619	EH23a.chr5
I52.000240F	2956	80138	EH23a.chr2
I52.000000F	4631	52361126	EH23a.chr2
I52.000008F	4434	29385783	EH23a.chr2
I52.000149F	3424	585363	EH23a.chr6
I52.000153F	3406	609813	EH23a.chr4
I52.000005F	4315	34819023	EH23a.chr1
I52.000060F	3733	4873957	EH23a.chr6
I52.000204R	2789	186680	EH23a.chr8
I52.000232F	2486	56284	EH23a.chr9
I52.000007F	3916	33319318	EH23a.chr3
I52.000152F	2978	631858	EH23a.chr4
I52.000206F	2611	150420	EH23a.chrX
I52.000191F	2656	188831	EH23a.chr8
I52.000033F	3463	8861080	EH23a.chr5
I52.000070R	3259	4177864	EH23a.chr6
I52.000030F	3385	8951206	EH23a.chr4
I52.000120F	2977	1473658	EH23a.chr8
I52.000054F	3201	5530504	EH23a.chr5
I52.000013F	3403	16844402	EH23a.chr8
I52.000006F	2481	191527	EH23a.chr8
I52.000047F	3180	6276197	EH23a.chr5
I52.000160F	2634	508744	EH23a.chr4
I52.000238F	2096	37302	EH23a.chr8
I52.000141F	2675	748933	EH23a.chr6
I52.000068F	2993	4238539	EH23a.chr6
