contig	kmers_bp	total_bp	chrom
I59.000003F	88362	30010082	EH23a.chr7
I59.000004F	84233	29194862	EH23a.chrX
I59.000019F	24973	11171650	EH23a.chr7
I59.000002F	18535	38668188	EH23a.chrX
I59.000090F	14092	2806650	EH23a.chr7
I59.000021F	15238	10554313	EH23a.chr7
I59.000001F	12944	48267987	EH23a.chr6
I59.000044F	9007	5744291	EH23a.chr4
I59.000023F	7228	10213983	EH23a.chrX
I59.000107F	6443	2399705	EH23a.chr4
I59.000097F	5983	2642145	EH23a.chr4
I59.000160F	5118	1202179	EH23a.chr4
I59.000060F	4789	4332953	EH23a.chrX
I59.000036F	4838	6574723	EH23a.chr6
I59.000038F	2852	6261461	EH23a.chr9
I59.000104F	2597	2425427	EH23a.chr7
I59.000025F	2833	9615440	EH23a.chr7
I59.000240F	2120	191108	EH23a.chr4
I59.000280F	1946	154240	EH23a.chr8
I59.000152F	2204	1319164	EH23a.chr5
I59.000242F	1811	184783	EH23a.chr8
I59.000028F	2279	9071642	EH23a.chr4
I59.000040F	2195	6095402	EH23a.chr8
I59.000257F	1587	164570	EH23a.chr4
I59.000052F	1917	4840461	EH23a.chr9
I59.000050F	1901	4878630	EH23a.chr8
I59.000000F	1990	62833606	EH23a.chr2
I59.000290F	1278	104862	EH23a.chr8
I59.000024F	1674	10346949	EH23a.chr5
I59.000325F	1021	19710	EH23a.chr7
I59.000266F	1221	149067	EH23a.chr9
I59.000275F	1203	134239	EH23a.chr8
I59.000181F	1392	903296	EH23a.chr5
I59.000066F	1159	141936	EH23a.chr4
I59.000265F	1127	176853	EH23a.chr4
I59.000094F	1346	2681740	EH23a.chr4
I59.000056F	1335	4672430	EH23a.chr4
I59.000198F	1151	615481	EH23a.chr5
I59.000254F	1052	218709	EH23a.chrX
I59.000306F	935	100232	EH23a.chr1
I59.000072F	1226	3674698	EH23a.chr5
I59.000256F	987	198909	EH23a.chr8
I59.000123F	1166	1831073	EH23a.chr9
I59.000274F	976	177519	EH23a.chr8
I59.000225F	1025	371545	EH23a.chr5
I59.000046F	1236	5637631	EH23a.chr4
I59.000249F	951	219647	EH23a.chr8
I59.000296F	903	125468	EH23a.chr8
I59.000283F	913	149551	EH23a.chrX
I59.000091F	1132	2811730	EH23a.chr5
I59.000113F	1083	2136902	EH23a.chr4
I59.332	846	108709	EH23a.chr9
I59.000253F	883	209010	EH23a.chrX
I59.000014F	1185	14390975	EH23a.chr5
I59.000272F	850	143663	EH23a.chr4
I59.000034F	1121	6812905	EH23a.chr9
I59.000029F	1128	8854309	EH23a.chr4
I59.000041F	1060	3492312	EH23a.chr9
I59.000006F	865	272287	EH23a.chr7
I59.000081F	1017	3270270	EH23a.chr5
I59.000273F	810	164572	EH23a.chr4
I59.000282F	766	106817	EH23a.chr5
I59.000311F	742	103511	EH23a.chr4
I59.000209F	826	485907	EH23a.chr7
I59.000210F	801	447851	EH23a.chr4
I59.000053F	938	4692635	EH23a.chr5
I59.000270F	712	120046	EH23a.chr4
I59.000289F	697	144700	EH23a.chr8
I59.000312F	668	96346	EH23a.chr2
I59.000147F	823	1444297	EH23a.chr9
I59.000061F	697	168416	EH23a.chrX
I59.000267R	691	168582	EH23a.chrX
I59.000219F	666	114688	EH23a.chr4
I59.000045F	860	5833283	EH23a.chr4
I59.000315F	601	64072	EH23a.chr8
I59.000047F	839	5538653	EH23a.chr8
