contig	kmers_bp	total_bp	chrom
I53.000006F	76343	18722629	EH23a.chr7
I53.000008F	55672	14712136	EH23a.chrX
I53.000065F	31792	4043168	EH23a.chrX
I53.000011F	25328	11241482	EH23a.chr7
I53.000001F	24968	40006507	EH23a.chrX
I53.000100F	16900	3007943	EH23a.chr7
I53.000010F	17454	11429952	EH23a.chr6
I53.000015F	15229	10094193	EH23a.chr7
I53.000039F	14543	5702806	EH23a.chr4
I53.000331F	10131	198849	EH23a.chr8
I53.000286F	10222	489132	EH23a.chr4
I53.000122F	11079	2536210	EH23a.chr4
I53.000069F	10789	3869696	EH23a.chr8
I53.000038F	11011	5798092	EH23a.chr4
I53.000267F	8135	618760	EH23a.chr9
I53.000016F	8176	9991560	EH23a.chrX
I53.000322F	5864	247846	EH23a.chrX
I53.000325F	5801	220151	EH23a.chr6
I53.000359F	5528	134400	EH23a.chr8
I53.000197F	6563	1518388	EH23a.chr1
I53.000339F	5341	195635	EH23a.chr6
I53.000352F	5199	164163	EH23a.chr5
I53.000308F	5379	335278	EH23a.chr9
I53.000041F	6334	5432744	EH23a.chr7
I53.000382F	4650	106957	EH23a.chr6
I53.000300F	5135	388766	EH23a.chr4
I53.000306F	4951	353633	EH23a.chr4
I53.000378F	4336	95021	EH23a.chr6
I53.000072F	5653	4034694	EH23a.chr9
I53.000051F	4292	139975	EH23a.chr5
I53.000373F	4269	132577	EH23a.chr9
I53.000028F	5690	6990787	EH23a.chr7
I53.000333F	4367	194078	EH23a.chr1
I53.000177F	4977	1703115	EH23a.chr4
I53.000012F	5623	11148094	EH23a.chrX
I53.000313F	4327	310765	EH23a.chr1
I53.000077F	4777	1317604	EH23a.chr9
I53.000332F	4118	201889	EH23a.chrX
I53.000243F	4587	920002	EH23a.chr4
I53.000020F	5325	8547835	EH23a.chr1
I53.000055F	5080	4282664	EH23a.chr7
I53.000303F	4216	385872	EH23a.chr6
I53.000089F	4897	3387805	EH23a.chr2
