contig	kmers_bp	total_bp	chrom
SSA2.00000786	6153	6189973	EH23a.chr2
SSA2.00001956	3555	2969995	EH23a.chr6
SSA2.00001960	194	32715	EH23a.chr3
SSA2.00001963	155	16892	EH23a.chr6
SSA2.00001890	124	39841	EH23a.chrX
SSA2.00001883	163	3263456	EH23a.chrX
SSA2.00002310	93	1949758	EH23a.chrX
SSA2.00000257	96	9431272	EH23a.chr2
SSA2.00000117	62	10296002	EH23a.chr2
SSA2.00004100	31	39984	EH23a.chrX
SSA2.00003441	31	180904	EH23a.chr6
SSA2.00002565	31	1748672	EH23a.chr7
SSA2.00002465	31	1857363	EH23a.chrX
SSA2.00002172	31	2573598	EH23a.chrX
SSA2.00001917	31	3293425	EH23a.chr8
SSA2.00001704	31	3658718	EH23a.chr8
SSA2.00001537	31	3858240	EH23a.chr1
SSA2.00001265	31	4548534	EH23a.chr2
SSA2.00001211	31	4820325	EH23a.chr6
SSA2.00000616	31	6367758	EH23a.chr2
SSA2.00000184	31	10177901	EH23a.chr1
