contig	kmers_bp	total_bp	chrom
I78.000012F	41473	15703089	EH23a.chrX
I78.000020F	37899	11414592	EH23a.chrX
I78.000037F	31106	8580257	EH23a.chr7
I78.000014F	28291	14851198	EH23a.chr4
I78.000023F	25297	10641735	EH23a.chr7
I78.000085F	20618	3815778	EH23a.chr7
I78.000047F	20327	6848015	EH23a.chr6
I78.000065F	18656	5124700	EH23a.chr7
I78.000003F	20150	24233534	EH23a.chrX
I78.000105F	16030	2827723	EH23a.chr7
I78.000112F	11843	2665698	EH23a.chrX
I78.000079F	11280	4065490	EH23a.chr8
I78.000292F	8873	191124	EH23a.chr5
I78.000045F	11090	7029609	EH23a.chr7
I78.000136F	10079	2028259	EH23a.chr7
I78.000069F	10674	4901059	EH23a.chr1
I78.000305F	7920	171603	EH23a.chr7
I78.000244F	7969	397580	EH23a.chr6
I78.000042F	6773	224179	EH23a.chr6
I78.000165F	6620	195182	EH23a.chr1
I78.000113F	7954	2635249	EH23a.chr7
I78.000123F	6535	192868	EH23a.chr9
I78.000064F	6102	125964	EH23a.chr5
I78.000319F	6056	144886	EH23a.chr3
I78.000321F	5852	98428	EH23a.chr2
I78.000344F	5756	109037	EH23a.chr6
I78.000252F	6181	266895	EH23a.chrX
I78.000027F	7736	10146521	EH23a.chrX
I78.000025F	5539	162163	EH23a.chr7
I78.000354F	5188	92744	EH23a.chr6
I78.000210F	6030	623344	EH23a.chr3
I78.000194F	5307	182286	EH23a.chr1
I78.000052F	6640	6569352	EH23a.chr7
I78.000335F	4904	109873	EH23a.chrX
I78.000309F	4960	148979	EH23a.chr5
I78.000281F	4719	169325	EH23a.chr8
I78.000093F	5863	3298150	EH23a.chr5
I78.000310F	4635	159868	EH23a.chr7
I78.000107F	5630	2741274	EH23a.chr4
I78.000323F	4525	151729	EH23a.chr5
I78.000288F	4523	189625	EH23a.chr6
I78.000303F	4429	171397	EH23a.chr9
I78.000317F	4388	154752	EH23a.chr8
I78.000134F	5338	2065339	EH23a.chr8
I78.000247F	4680	380719	EH23a.chr8
I78.000030F	5814	9471037	EH23a.chr8
I78.000313F	4252	170539	EH23a.chr4
I78.000226F	4539	663012	EH23a.chr5
I78.000133F	4920	2125761	EH23a.chr1
I78.000070F	5172	4759854	EH23a.chr7
I78.000150F	4807	1779415	EH23a.chr1
I78.000268F	3896	164262	EH23a.chrX
I78.000193F	4443	1046511	EH23a.chr1
I78.000273F	3961	234213	EH23a.chr6
I78.000297F	3865	191132	EH23a.chr7
I78.000048F	3765	152650	EH23a.chr6
I78.000082F	4793	3985222	EH23a.chr7
I78.000221F	4202	623622	EH23a.chr1
I78.000326F	3662	138607	EH23a.chr1
I78.000013F	3665	147234	EH23a.chrX
I78.000054F	4815	6615464	EH23a.chr5
I78.000077F	4658	4176975	EH23a.chr4
I78.000283F	3645	207419	EH23a.chr6
I78.000304F	3535	174894	EH23a.chrX
I78.000322F	3464	150667	EH23a.chr5
I78.000284F	3459	171908	EH23a.chr5
I78.000285F	3485	202381	EH23a.chr5
I78.000095F	4266	3224972	EH23a.chr8
I78.000057F	4366	6383137	EH23a.chr1
I78.000024F	4428	10498077	EH23a.chr8
I78.000097F	4064	3140480	EH23a.chr5
I78.000071F	4139	4525149	EH23a.chr5
I78.000353F	3041	77857	EH23a.chr1
I78.000179F	3786	1241486	EH23a.chr3
I78.000176F	3787	1250610	EH23a.chr4
I78.000138F	3901	1991875	EH23a.chr1
I78.000315F	3224	165181	EH23a.chr1
I78.000316F	3175	141756	EH23a.chr1
I78.000098F	3919	3071098	EH23a.chr5
I78.000026F	4209	10225712	EH23a.chr8
I78.000007F	4352	18900583	EH23a.chrX
I78.000255F	3228	286249	EH23a.chr5
I78.000302F	3095	181478	EH23a.chr8
I78.000280F	3105	203568	EH23a.chr5
I78.000239F	3319	473242	EH23a.chr8
I78.000295F	3057	174744	EH23a.chr3
I78.000325F	2861	116303	EH23a.chr6
I78.000080F	3713	4079057	EH23a.chr7
I78.000184F	3369	1156791	EH23a.chr5
I78.000001F	4192	37584773	EH23a.chr3
I78.000296F	2892	172294	EH23a.chr4
I78.000318F	2833	143105	EH23a.chr7
I78.000213F	3217	719989	EH23a.chr1
I78.000005F	3997	19457101	EH23a.chr3
I78.000167F	3387	1592172	EH23a.chr1
I78.000036F	3789	8944532	EH23a.chr9
I78.000125F	3459	2307857	EH23a.chr1
I78.000275F	2807	151645	EH23a.chrX
I78.000175F	2735	129562	EH23a.chr4
I78.000266F	2865	230160	EH23a.chrX
I78.000096F	3468	3114499	EH23a.chr5
I78.000289F	2715	167709	EH23a.chr4
I78.000002F	3839	33848363	EH23a.chr2
I78.000173F	3119	1432670	EH23a.chr1
I78.000051F	2494	94563	EH23a.chr7
I78.000040F	3418	7965452	EH23a.chr5
I78.000212F	2883	732973	EH23a.chr4
I78.000299R	2565	179894	EH23a.chr8
I78.000087F	3195	3638881	EH23a.chr4
I78.000172F	2997	1468636	EH23a.chr1
I78.000286F	2564	201900	EH23a.chr4
I78.000028F	3364	9760340	EH23a.chr1
I78.000108F	3051	2831002	EH23a.chr7
I78.000229F	2670	531690	EH23a.chr5
I78.000282F	2451	194683	EH23a.chr5
I78.000056F	2394	151028	EH23a.chr7
I78.000260F	2486	248742	EH23a.chr1
I78.000181F	2754	1268864	EH23a.chr5
I78.000083F	2951	3855515	EH23a.chr8
I78.000161F	2766	1590843	EH23a.chr1
I78.000348F	2113	58922	EH23a.chr8
I78.000189F	2667	1109438	EH23a.chr1
I78.000202F	2585	856762	EH23a.chr1
I78.000081F	2430	401369	EH23a.chr3
I78.000262F	2344	298760	EH23a.chr1
I78.000227F	2433	509369	EH23a.chr5
I78.000120F	2715	2406528	EH23a.chr1
I78.000148F	2656	1794532	EH23a.chr8
I78.000154F	2624	1738073	EH23a.chr8
I78.000254F	2320	344289	EH23a.chr5
I78.000332F	2121	138647	EH23a.chr2
I78.000044F	2827	7187317	EH23a.chr7
I78.000243F	2284	395333	EH23a.chr1
I78.000320F	2109	160927	EH23a.chr5
I78.000039F	2780	8276335	EH23a.chr4
I78.000050F	2706	6624270	EH23a.chr7
I78.000207F	2313	766018	EH23a.chr1
I78.000034F	2717	9021283	EH23a.chr4
I78.000058F	2640	5812039	EH23a.chr5
I78.000111F	2484	2667696	EH23a.chr5
I78.000201F	2282	881467	EH23a.chr7
I78.000352F	1902	92559	EH23a.chr8
I78.000307F	1986	170366	EH23a.chr3
I78.000157F	2309	1709920	EH23a.chr5
I78.000171F	2253	1455326	EH23a.chr5
I78.000276F	1960	245318	EH23a.chr6
I78.000291F	1922	196885	EH23a.chr5
I78.000329F	1794	87620	EH23a.chr6
I78.000219F	2109	659553	EH23a.chr8
I78.000336F	1850	135861	EH23a.chr5
I78.000076F	2294	4265004	EH23a.chr1
I78.000267F	1868	267003	EH23a.chr4
I78.000103F	2204	2867919	EH23a.chr5
I78.000185F	2057	1156976	EH23a.chr1
I78.000331F	1710	118439	EH23a.chrX
I78.000174F	2057	1392706	EH23a.chr8
I78.000314F	1632	114122	EH23a.chr9
I78.000290F	1694	180454	EH23a.chr1
I78.000086F	2115	3779556	EH23a.chr8
I78.000061F	2113	4279395	EH23a.chr5
I78.000328F	1637	141776	EH23a.chr1
I78.000119F	2030	2451049	EH23a.chr8
I78.000218F	1836	605770	EH23a.chr5
I78.000067F	2106	5037917	EH23a.chr7
I78.000066F	1796	543443	EH23a.chr8
I78.000033F	2179	9240410	EH23a.chr4
I78.000338F	1555	106544	EH23a.chr8
I78.000257F	1675	278660	EH23a.chr5
I78.000306F	1612	175871	EH23a.chr4
I78.000163F	1891	1597520	EH23a.chr5
I78.000168F	1881	1551937	EH23a.chr1
I78.000162F	1695	391564	EH23a.chr4
